8.65E-01,0.864912563,,,,,,,,1,2,3,4,5,6,7
8.45E-01,0.844613146,,,,,,,,0.864912563,0.844613146,0.9314209,0.983034277,0.96379354,0.809145844,0.621411249
9.31E-01,0.9314209,,,,,,,,8,9,10,11,12,13,14
9.83E-01,0.983034277,,,,,,,,0.574608404,0.952857714,0.488023059,0.499238968,0.498979568,0.498203278,0.630940875
9.64E-01,0.96379354,,,,,,,,15,16,17,18,19,20,21
8.09E-01,0.809145844,,,,,,,,0.913852593,0.757940976,0.841564223,0.796068197,0.763062326,0.879231075,0.49892807
6.21E-01,0.621411249,,,,,,,,22,23,24,25,26,27,28
5.75E-01,0.574608404,,,,,,,,0.4991436,0.977593161,0.920780537,0.701026716,0.923387709,0.542471941,0.746884333
9.53E-01,0.952857714,,,,,,,,29,30,31,32,33,,
4.88E-01,0.488023059,,,,,,,,0.658547613,0.914287568,0.821680659,0.770316285,0.841977051,,
4.99E-01,0.499238968,,,,,,,,,,,,,,
4.99E-01,0.498979568,,,,,,,,,,,,,,
4.98E-01,0.498203278,,,,,,,,,,,,,,
6.31E-01,0.630940875,,,,,,,,,,,,,,
9.14E-01,0.913852593,,,,,,,,,,,,,,
7.58E-01,0.757940976,,,,,,,,,,,,,,
8.42E-01,0.841564223,,,,,,,,,,,,,,
7.96E-01,0.796068197,,,,,,,,,,,,,,
7.63E-01,0.763062326,,,,,,,,,,,,,,
8.79E-01,0.879231075,,,,,,,,,,,,,,
4.99E-01,0.49892807,,,,,,,,,,,,,,
4.99E-01,0.4991436,,,,,,,,,,,,,,
9.78E-01,0.977593161,,,,,,,,,,,,,,
9.21E-01,0.920780537,,,,,,,,,,,,,,
7.01E-01,0.701026716,,,,,,,,,,,,,,
9.23E-01,0.923387709,,,,,,,,,,,,,,
5.42E-01,0.542471941,,,,,,,,,,,,,,
7.47E-01,0.746884333,,,,,,,,,,,,,,
6.59E-01,0.658547613,,,,,,,,,,,,,,
9.14E-01,0.914287568,,,,,,,,,,,,,,
8.22E-01,0.821680659,,,,,,,,,,,,,,
7.70E-01,0.770316285,,,,,,,,,,,,,,
8.42E-01,0.841977051,,,,,,,,,,,,,,
